no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
34,Dolly,Ezele,dezelex@twitter.com,Laki-laki,SMA 2,8,6.5,9,7,8.5,7,8,9,7,7,7.5,lulus
35,Doris,Thomesson,dthomessony@aboutads.info,Laki-laki,SMA 2,7.5,9,8.5,8.5,7,7.5,7.5,9,8,9,7.5,lulus
36,Marijn,Ellams,mellamsz@jimdo.com,Laki-laki,SMA 5,9,9,9,6.5,9,7.5,9,7.5,8,7.5,7,lulus
37,Dallas,Stirrup,dstirrup10@deliciousdays.com,Laki-laki,SMA 6,8,6.5,9,7.5,8,9,7.5,7.5,9,8,9,lulus
38,Robinet,Bleby,rbleby11@slashdot.org,Laki-laki,SMA 8,9,8.5,7.5,8,8,8.5,8,8.5,7,7,8,tidak lulus
39,Ibbie,Vanacci,ivanacci12@microsoft.com,Laki-laki,SMA 1,7,7.5,9,7.5,7.5,8.5,8.5,8,6.5,6.5,9,tidak lulus
40,Devinne,Lakeman,dlakeman13@zimbio.com,Laki-laki,SMA 7,9,7.5,7,9,9,9,8.5,8,8.5,8.5,7,pertimbangan
41,Natalie,Ferran,nferran14@unesco.org,Laki-laki,SMA 11,8,8,7.5,8,8,8,9,7.5,9,8,9,tidak lulus
42,Normand,Feldfisher,nfeldfisher15@ameblo.jp,Laki-laki,SMA 11,6.5,9,9,6.5,7.5,7,8,8,8,6.5,8,pertimbangan
43,Brianna,Dimmne,bdimmne16@adobe.com,Perempuan,SMA 2,7.5,7.5,7.5,6.5,9,8.5,8.5,8,7.5,8.5,7.5,lulus
44,Lindi,Yurchishin,lyurchishin17@springer.com,Perempuan,SMA 4,8,8,8.5,6.5,9,8,8,8.5,7.5,6.5,9,lulus
45,Upton,Hannigan,uhannigan18@bloglines.com,Perempuan,SMA 2,6.5,8.5,9,9,9,7,7.5,7,7.5,7,8,tidak lulus
46,Amble,Stood,astood19@github.io,Perempuan,SMA 3,6.5,6.5,8.5,8,6.5,6.5,6.5,8,7,6.5,6.5,lulus
47,Julie,Kibble,jkibble1a@columbia.edu,Perempuan,SMA 6,9,6.5,6.5,8,8.5,7,7.5,7.5,7,6.5,6.5,tidak lulus
48,Delora,Jansen,djansen1b@stumbleupon.com,Perempuan,SMA 5,7.5,6.5,7.5,6.5,9,7,8.5,6.5,7.5,7.5,9,tidak lulus
49,Abeu,Aykroyd,aaykroyd1c@foxnews.com,Laki-laki,SMA 4,8.5,6.5,8,9,8,8,8.5,6.5,7,7,6.5,tidak lulus
50,Andria,Emmot,aemmot1d@telegraph.co.uk,Laki-laki,SMA 2,7,7.5,7,9,8.5,8,7,8.5,7,6.5,8.5,pertimbangan
51,Sherlock,Tousy,stousy1e@people.com.cn,Laki-laki,SMA 1,9,7,8,7,7.5,6.5,9,6.5,6.5,8,8.5,lulus
52,Pedro,De la Perrelle,pdelaperrelle1f@jimdo.com,Laki-laki,SMA 8,6.5,6.5,7,7,9,7.5,9,7,6.5,6.5,6.5,pertimbangan
53,Alexio,Broadbridge,abroadbridge1g@people.com.cn,Perempuan,SMA 7,9,7,8.5,8.5,6.5,6.5,6.5,6.5,9,7,7.5,tidak lulus
54,Tiphanie,Musso,tmusso1h@mac.com,Perempuan,SMA 5,6.5,6.5,7,7.5,7.5,9,8,6.5,9,8,8.5,tidak lulus
55,Leanna,Maunton,lmaunton1i@flavors.me,Perempuan,SMA 9,8,7.5,8.5,8.5,7,6.5,7,9,6.5,8,7.5,lulus
56,Humfrey,Jansky,hjansky1j@ca.gov,Laki-laki,SMA 11,8.5,8,7,6.5,6.5,9,6.5,7.5,8,9,6.5,pertimbangan
57,Baron,Knudsen,bknudsen1k@senate.gov,Laki-laki,SMA 3,8,7.5,9,9,8,7,7.5,8,9,8,8.5,lulus
58,Reube,Leverett,rleverett1l@state.gov,Laki-laki,SMA 1,8,7,6.5,6.5,6.5,8,8.5,9,8,7,7.5,lulus
59,Cally,Maccrea,cmaccrea1m@sphinn.com,Perempuan,SMA 10,9,8,6.5,7.5,8.5,8.5,9,8.5,7,7,7,tidak lulus
60,Stanley,O'Brogan,sobrogan1n@ow.ly,Laki-laki,SMA 8,6.5,8.5,7,7.5,6.5,6.5,8,8,7.5,7,8,tidak lulus
61,Robinia,North,rnorth1o@loc.gov,Perempuan,SMA 7,8,8,7.5,8,7.5,7,7.5,6.5,6.5,7.5,9,tidak lulus
62,Delmer,O'Brollachain,dobrollachain1p@tumblr.com,Laki-laki,SMA 6,9,7,8,6.5,8,8,7.5,6.5,6.5,8.5,6.5,pertimbangan
63,Gregory,Feenan,gfeenan1q@hhs.gov,Laki-laki,SMA 7,7.5,8,8.5,7.5,7,6.5,6.5,7.5,8.5,8.5,6.5,lulus
64,Maryl,Fussen,mfussen1r@cam.ac.uk,Perempuan,SMA 11,7.5,8.5,7.5,8.5,7,8.5,7,8.5,7,7.5,6.5,lulus
65,Sherlocke,Pattie,spattie1s@discovery.com,Perempuan,SMA 3,7.5,6.5,6.5,8,8.5,7.5,6.5,9,8,7,6.5,tidak lulus
66,Peterus,McPhaden,pmcphaden1t@w3.org,Laki-laki,SMA 8,8.5,7.5,6.5,6.5,8.5,7.5,9,7,7,9,9,lulus
67,Loutitia,Quarry,lquarry1u@baidu.com,Perempuan,SMA 4,8,7,6.5,9,7,8,8,7,8.5,7.5,8,lulus
68,Rikki,McLanachan,rmclanachan1v@dailymail.co.uk,Laki-laki,SMA 8,7,7.5,9,7.5,8,7,7.5,9,9,8.5,8.5,lulus
69,Margo,Strother,mstrother1w@google.cn,Perempuan,SMA 9,7,8,8,9,7,8,8,7,7,7.5,8.5,tidak lulus
70,Olympie,Paunton,opaunton1x@accuweather.com,Laki-laki,SMA 6,8,8.5,8.5,7,7,7.5,6.5,8.5,7,8.5,8.5,tidak lulus
71,Brok,Wescott,bwescott1y@google.fr,Laki-laki,SMA 5,9,8,8.5,8,7.5,8,9,6.5,9,8.5,9,lulus
72,Brennen,Mossop,bmossop1z@amazon.co.uk,Laki-laki,SMA 4,8.5,8.5,8,6.5,9,8.5,7,7.5,8,9,7,tidak lulus
73,Grange,Breward,gbreward20@fda.gov,Laki-laki,SMA 6,6.5,9,8.5,7,8,7,6.5,7,6.5,8.5,7.5,tidak lulus
74,Tannie,Mattacks,tmattacks21@virginia.edu,Perempuan,SMA 3,8,6.5,8,9,8.5,8.5,8.5,8,8.5,8.5,7,tidak lulus
75,Herbie,Gurrado,hgurrado22@jigsy.com,Perempuan,SMA 2,6.5,9,7,8,8,7.5,8,7.5,8.5,8.5,8.5,pertimbangan
76,Steward,Pindar,spindar23@uiuc.edu,Perempuan,SMA 8,7,8,8.5,8.5,9,9,7.5,7,8.5,7.5,6.5,tidak lulus
77,Sutherland,Shovlar,sshovlar24@webnode.com,Perempuan,SMA 9,7.5,7,8,8.5,8.5,7.5,9,9,7,8.5,7,tidak lulus
78,Merilyn,Robak,mrobak25@google.com.hk,Laki-laki,SMA 1,8.5,7,6.5,7,8.5,7.5,9,7,7,8,7.5,pertimbangan
79,Queenie,Beneix,qbeneix26@xing.com,Perempuan,SMA 4,6.5,8.5,7,6.5,7.5,8,9,8,9,7.5,9,tidak lulus
80,Cleo,Stitle,cstitle27@dion.ne.jp,Perempuan,SMA 8,8,6.5,9,8.5,6.5,8.5,9,7,6.5,6.5,7,tidak lulus
81,Prue,Meert,pmeert28@ebay.co.uk,Laki-laki,SMA 9,7,7.5,8.5,7,8,7,9,7.5,8,9,7.5,pertimbangan
82,Siobhan,Manzell,smanzell29@webnode.com,Laki-laki,SMA 9,9,8.5,8,9,9,8,8,6.5,7.5,9,8,lulus
83,Kathryn,Penney,kpenney2a@statcounter.com,Laki-laki,SMA 3,7,7,9,7,9,7,8.5,7,8,8,8.5,pertimbangan
84,Ignaz,Grindell,igrindell2b@sphinn.com,Perempuan,SMA 3,9,6.5,7,7,8.5,7,9,8,8.5,6.5,7,tidak lulus
85,Neil,McGlashan,nmcglashan2c@ezinearticles.com,Perempuan,SMA 4,6.5,7,9,8,8,7.5,7.5,8.5,8,9,8.5,pertimbangan
86,Claretta,Shapcote,cshapcote2d@blogs.com,Laki-laki,SMA 4,7.5,7.5,8,9,8,8.5,7.5,8.5,7.5,6.5,6.5,pertimbangan
87,Palm,Greeveson,pgreeveson2e@apache.org,Perempuan,SMA 6,7,7.5,8,8,6.5,8.5,8,8,8,7,6.5,lulus
88,Andreana,Melhuish,amelhuish2f@infoseek.co.jp,Laki-laki,SMA 7,9,8,8,7.5,6.5,9,9,8,9,6.5,8,pertimbangan
89,Ciel,Pinner,cpinner2g@bbb.org,Laki-laki,SMA 1,8.5,7,8.5,7,6.5,8,8,8.5,8,6.5,8.5,tidak lulus
90,Florrie,Bellord,fbellord2h@arstechnica.com,Perempuan,SMA 8,9,7.5,9,9,7,6.5,6.5,8.5,9,7.5,7.5,tidak lulus
91,Juanita,Braunle,jbraunle2i@army.mil,Laki-laki,SMA 7,8.5,7,8,8.5,7,6.5,6.5,7.5,7,7.5,6.5,tidak lulus
92,Elmore,Narup,enarup2j@barnesandnoble.com,Laki-laki,SMA 2,9,8,8.5,8.5,6.5,7,9,8,6.5,7,7.5,tidak lulus
93,Fergus,Morena,fmorena2k@admin.ch,Laki-laki,SMA 10,6.5,9,8.5,7.5,8.5,8.5,6.5,7.5,8.5,8,8,tidak lulus
94,Marius,McDiarmid,mmcdiarmid2l@cdbaby.com,Laki-laki,SMA 10,7,7,8.5,7.5,8,8,7.5,7.5,6.5,7,7.5,tidak lulus
95,Bobbie,Klima,bklima2m@furl.net,Laki-laki,SMA 5,7,8,8,8.5,6.5,8.5,8,8,7,8,8,lulus
96,Biron,Cartmale,bcartmale2n@slashdot.org,Perempuan,SMA 8,8,6.5,6.5,9,8.5,8.5,7.5,7,6.5,8.5,7.5,tidak lulus
97,Giffy,Havelin,ghavelin2o@bloglines.com,Perempuan,SMA 2,9,6.5,6.5,9,8,7,7,6.5,9,7.5,9,lulus
98,Dorene,Condliffe,dcondliffe2p@npr.org,Perempuan,SMA 5,8.5,7,7.5,8,8,8.5,7.5,9,8,7.5,9,tidak lulus
99,Elena,Martonfi,emartonfi2q@jiathis.com,Laki-laki,SMA 10,7.5,8.5,7.5,9,6.5,7.5,8,6.5,7,6.5,6.5,pertimbangan
100,Eyde,Velez,evelez2r@etsy.com,Laki-laki,SMA 4,8.5,7.5,9,7,7.5,7.5,7,9,8.5,7.5,7.5,tidak lulus
101,Rurik,Nasey,rnasey2s@netscape.com,Perempuan,SMA 8,8.5,6.5,7,8,8,7.5,8.5,6.5,8,7.5,7.5,lulus
102,Laurena,Lymbourne,llymbourne2t@dailymotion.com,Perempuan,SMA 11,7,8.5,7.5,6.5,8.5,9,7.5,7.5,8.5,8,7.5,pertimbangan
103,Yuma,Baudoux,ybaudoux2u@mail.ru,Laki-laki,SMA 8,8.5,7.5,8,8.5,7,8.5,9,8.5,7,6.5,7,lulus
104,Kristal,O'Kieran,kokieran2v@uiuc.edu,Perempuan,SMA 3,9,8,7.5,7,6.5,8.5,7.5,8,7,9,6.5,tidak lulus
105,Cynthea,Robbel,crobbel2w@princeton.edu,Perempuan,SMA 10,6.5,9,9,8.5,7.5,9,8,6.5,6.5,7,9,lulus
106,Iona,Gass,igass2x@kickstarter.com,Laki-laki,SMA 11,7.5,7,6.5,8.5,7.5,8.5,9,8.5,6.5,7,6.5,pertimbangan
107,Madeline,Mills,mmills2y@bluehost.com,Perempuan,SMA 8,7,7,7.5,8.5,8.5,9,6.5,6.5,8.5,7,8,lulus
108,Dodi,Drynan,ddrynan2z@mac.com,Laki-laki,SMA 4,8,8,8.5,6.5,6.5,8,9,8.5,6.5,6.5,6.5,tidak lulus
109,Annabell,Sloey,asloey30@hugedomains.com,Laki-laki,SMA 10,9,7.5,8,7.5,7,7,6.5,9,8,8.5,8,lulus
110,Zitella,Thurling,zthurling31@irs.gov,Laki-laki,SMA 3,7,8.5,8.5,6.5,9,7.5,8.5,8,6.5,7,7.5,pertimbangan
111,Marcelo,Whyler,mwhyler32@icio.us,Perempuan,SMA 8,7.5,8,8,7,9,9,7,8,7,8.5,9,lulus
112,Griz,Braker,gbraker33@census.gov,Laki-laki,SMA 7,7,7,7.5,8,8,7.5,8,8,6.5,8.5,9,pertimbangan
113,Felicio,Scotchmore,fscotchmore34@washington.edu,Perempuan,SMA 11,7.5,7,8,7.5,6.5,6.5,6.5,8,8,6.5,9,pertimbangan
114,Malena,Filippo,mfilippo35@weather.com,Perempuan,SMA 10,7,8,8,7,8.5,7,8.5,8,7,7.5,7.5,pertimbangan
115,Gilly,Londesborough,glondesborough36@lycos.com,Perempuan,SMA 5,9,6.5,8.5,6.5,7,8.5,9,7.5,7,8.5,8,tidak lulus
116,Ricoriki,Grealey,rgrealey37@geocities.com,Laki-laki,SMA 4,6.5,7,9,7.5,8.5,8.5,7.5,8,7,6.5,7,tidak lulus
117,Annissa,Denecamp,adenecamp38@tinyurl.com,Perempuan,SMA 3,9,9,8.5,7,7,8,8,6.5,7.5,6.5,6.5,pertimbangan
118,Maje,Stickings,mstickings39@independent.co.uk,Perempuan,SMA 1,8,6.5,7.5,8,7.5,7,8.5,8,8.5,8.5,9,tidak lulus
119,Tabby,Schultze,tschultze3a@google.co.jp,Laki-laki,SMA 7,6.5,9,7,8,8,9,8.5,7.5,7.5,6.5,8.5,pertimbangan
120,Oates,Tarpey,otarpey3b@ca.gov,Laki-laki,SMA 8,9,7.5,9,7,6.5,9,6.5,7.5,6.5,6.5,9,pertimbangan
121,Ingrid,Izkovitch,iizkovitch3c@sitemeter.com,Laki-laki,SMA 3,8,6.5,7,7.5,8,7,6.5,9,8,7.5,7.5,tidak lulus
122,Valry,Abramamov,vabramamov3d@webmd.com,Perempuan,SMA 1,8,8,8.5,6.5,7,7,8,7,7.5,6.5,8.5,pertimbangan
123,Brendan,Blaver,bblaver3e@tmall.com,Perempuan,SMA 7,7.5,9,9,7,8.5,9,9,9,7,8.5,6.5,lulus
124,Morry,Mahmood,mmahmood3f@admin.ch,Perempuan,SMA 3,7.5,6.5,7,6.5,8.5,7.5,8.5,9,6.5,8.5,7.5,lulus
125,Ravid,Crickmore,rcrickmore3g@goo.gl,Perempuan,SMA 6,7,6.5,7.5,7,7,7,8.5,8,6.5,8.5,8.5,pertimbangan
126,Cyndi,Gilley,cgilley3h@merriam-webster.com,Perempuan,SMA 5,6.5,9,8.5,6.5,6.5,8,9,7,8.5,9,7,pertimbangan
127,Holt,Ranstead,hranstead3i@msn.com,Perempuan,SMA 7,7.5,8,8,7.5,6.5,6.5,7.5,8,7,8.5,7,tidak lulus
128,Gaylord,Draxford,gdraxford3j@mozilla.org,Laki-laki,SMA 2,8,7.5,7.5,9,8,9,9,7,7,8.5,8.5,lulus
129,Hyman,Studdert,hstuddert3k@businesswire.com,Perempuan,SMA 11,7,8.5,6.5,7,6.5,6.5,7,8.5,7.5,7.5,6.5,lulus
130,Ellerey,Renzini,erenzini3l@redcross.org,Perempuan,SMA 1,6.5,6.5,8.5,8,9,6.5,7.5,8,7.5,8.5,8,pertimbangan
131,Mada,Saffon,msaffon3m@noaa.gov,Perempuan,SMA 3,8.5,8,6.5,8.5,7,7,8.5,8,8.5,8.5,8,tidak lulus
132,Nessa,Raffin,nraffin3n@blogtalkradio.com,Laki-laki,SMA 4,7,8.5,8,7,7.5,7,7.5,7,7,8,7.5,pertimbangan
133,Palmer,Scase,pscase3o@weather.com,Perempuan,SMA 2,6.5,8,9,8,7,6.5,8,8.5,8,8,6.5,lulus
134,Breena,Anfrey,banfrey3p@hatena.ne.jp,Laki-laki,SMA 7,7,7.5,7.5,9,7.5,9,8,7,7,9,7.5,lulus
135,Bathsheba,Melin,bmelin3q@vinaora.com,Laki-laki,SMA 8,7.5,7.5,6.5,7,7.5,7,7.5,8.5,8.5,7,8.5,pertimbangan
136,Shayla,Skelhorn,sskelhorn3r@bbb.org,Laki-laki,SMA 10,6.5,8.5,8.5,8,9,7.5,7,9,8.5,6.5,9,pertimbangan
137,Stanislas,Shiel,sshiel3s@addtoany.com,Laki-laki,SMA 4,8.5,8.5,6.5,6.5,7,8,7,7,7.5,7.5,8,tidak lulus
138,Kendra,Flindall,kflindall3t@topsy.com,Laki-laki,SMA 3,9,9,8,8.5,8.5,6.5,7,8,7,9,8.5,pertimbangan
139,Merlina,Gymlett,mgymlett3u@vimeo.com,Perempuan,SMA 5,8.5,7,8.5,8.5,7.5,7,7,7,7.5,8,9,lulus
140,Gabriello,Tapp,gtapp3v@geocities.com,Perempuan,SMA 10,8.5,7,6.5,9,6.5,8,6.5,7.5,8,7,7,tidak lulus
141,Sunny,Bofield,sbofield3w@smugmug.com,Laki-laki,SMA 8,7.5,8.5,7.5,8.5,7,8,9,8.5,6.5,9,8.5,lulus
142,Gloriana,Siley,gsiley3x@gov.uk,Perempuan,SMA 2,9,6.5,8,6.5,6.5,6.5,7.5,8.5,9,6.5,7.5,lulus
143,Karlotta,Sherel,ksherel3y@ustream.tv,Laki-laki,SMA 1,9,7.5,7,8,9,8.5,6.5,7.5,8,8,9,pertimbangan
144,Raeann,Huntress,rhuntress3z@rambler.ru,Perempuan,SMA 5,9,8.5,6.5,9,7,8,7,7.5,9,6.5,7.5,pertimbangan
145,Herold,Kneal,hkneal40@zimbio.com,Laki-laki,SMA 11,7.5,8,6.5,8.5,6.5,8,7.5,9,8,9,8.5,pertimbangan
146,D'arcy,Thalmann,dthalmann41@gov.uk,Perempuan,SMA 11,7.5,6.5,7,9,7.5,8,6.5,6.5,8.5,9,8,tidak lulus
147,Bobine,Abrahamsohn,babrahamsohn42@mtv.com,Laki-laki,SMA 3,7.5,6.5,6.5,8,8,7.5,7,7,7,9,9,tidak lulus
148,Corenda,Greenwood,cgreenwood43@fastcompany.com,Laki-laki,SMA 10,9,6.5,8.5,7.5,7,6.5,7,7,8,6.5,8,lulus
149,Ned,Drowsfield,ndrowsfield44@purevolume.com,Perempuan,SMA 4,9,9,7.5,6.5,6.5,6.5,6.5,8,7,6.5,8.5,pertimbangan
150,Helenelizabeth,Dunstan,hdunstan45@businessinsider.com,Perempuan,SMA 9,8,7,7,7.5,8,9,7,9,6.5,8.5,7,lulus
151,Gaby,Breese,gbreese46@hao123.com,Laki-laki,SMA 1,6.5,8,9,7,8.5,9,7.5,9,9,9,8,tidak lulus
152,Agosto,Skippings,askippings47@163.com,Perempuan,SMA 1,8.5,7.5,7.5,6.5,7.5,7,7.5,8,7,6.5,6.5,lulus
153,Ari,Dovinson,adovinson48@blogs.com,Laki-laki,SMA 9,8,9,8.5,6.5,8.5,8.5,7,6.5,7.5,7.5,7,lulus
154,Hedy,Ceeley,hceeley49@quantcast.com,Perempuan,SMA 10,9,7,7,8.5,7.5,8.5,7,8.5,6.5,7.5,8.5,lulus
155,Peirce,Finders,pfinders4a@desdev.cn,Laki-laki,SMA 3,7.5,6.5,7,8,6.5,9,7,8.5,7,7.5,8,tidak lulus
156,Ugo,Bramsen,ubramsen4b@reference.com,Perempuan,SMA 5,9,6.5,7,9,7,7.5,7,8,7.5,8.5,7.5,pertimbangan
157,Garry,Loughman,gloughman4c@nymag.com,Perempuan,SMA 1,8,9,8,7,8,7.5,7.5,9,8,8.5,8.5,lulus
158,Eva,Gioani,egioani4d@google.ca,Perempuan,SMA 5,9,7.5,7.5,9,9,6.5,6.5,8.5,8.5,6.5,8,lulus
159,Loise,Jobbins,ljobbins4e@weibo.com,Laki-laki,SMA 1,7,9,9,7,9,8.5,7,8,6.5,7,8.5,tidak lulus
160,Cory,Ringwood,cringwood4f@smugmug.com,Perempuan,SMA 6,9,9,8.5,9,7.5,9,9,9,7,7,8.5,lulus
161,Adina,Bilbrooke,abilbrooke4g@booking.com,Perempuan,SMA 1,7,8.5,8.5,7.5,7,7.5,9,7.5,7,8,8.5,lulus
162,Julee,Saben,jsaben4h@unc.edu,Perempuan,SMA 7,8,7.5,7,6.5,7.5,7.5,7.5,8.5,6.5,6.5,6.5,lulus
163,Baillie,Hendrich,bhendrich4i@nyu.edu,Perempuan,SMA 3,7,7.5,6.5,8,8,7,8,8,9,8.5,7.5,lulus
164,Robbyn,Hucquart,rhucquart4j@themeforest.net,Perempuan,SMA 5,8,8.5,6.5,9,6.5,9,8,6.5,7.5,8.5,6.5,lulus
165,Giles,Able,gable4k@reddit.com,Laki-laki,SMA 8,6.5,8,8.5,6.5,7.5,8.5,7,6.5,8,8.5,9,pertimbangan
166,Cleveland,Artiss,cartiss4l@ifeng.com,Perempuan,SMA 7,6.5,6.5,7,6.5,6.5,9,7,8,6.5,6.5,9,pertimbangan
167,Wilton,Hyrons,whyrons4m@eventbrite.com,Perempuan,SMA 2,6.5,8.5,6.5,8,8.5,9,7,6.5,8.5,8,9,pertimbangan
168,Melva,de Villier,mdevillier4n@usnews.com,Laki-laki,SMA 8,8,6.5,7.5,9,8.5,6.5,6.5,8,9,8,8.5,pertimbangan
169,Crissie,Tremlett,ctremlett4o@adobe.com,Laki-laki,SMA 8,7.5,6.5,6.5,7.5,8.5,8.5,7,7,8,8,7,lulus
170,Krystyna,Joynson,kjoynson4p@amazon.co.jp,Laki-laki,SMA 5,9,6.5,6.5,9,6.5,7.5,6.5,7.5,7,8,8,pertimbangan
171,Ulla,Brecknock,ubrecknock4q@plala.or.jp,Perempuan,SMA 1,7.5,7,7.5,9,7.5,8.5,8.5,8.5,6.5,7.5,9,lulus
172,Myrna,Crighton,mcrighton4r@oracle.com,Laki-laki,SMA 9,7.5,6.5,8,7.5,6.5,6.5,7.5,6.5,7,7,7,tidak lulus
173,Bron,Bearcock,bbearcock4s@techcrunch.com,Perempuan,SMA 5,7.5,8.5,8.5,8,8,8.5,9,9,8,7,8,pertimbangan
174,Wells,Kunzelmann,wkunzelmann4t@prlog.org,Perempuan,SMA 9,6.5,7,8,7,9,7.5,7.5,7.5,8.5,8.5,6.5,pertimbangan
175,Hollyanne,Calfe,hcalfe4u@hao123.com,Perempuan,SMA 11,8.5,9,7.5,6.5,6.5,8,6.5,7.5,9,8.5,9,pertimbangan
176,Milt,Bonnar,mbonnar4v@berkeley.edu,Perempuan,SMA 9,7,7,8.5,7.5,8.5,9,7,9,6.5,7,9,tidak lulus
177,Warner,Josselson,wjosselson4w@phoca.cz,Perempuan,SMA 3,7.5,6.5,8,7.5,7,6.5,9,9,8.5,9,7,pertimbangan
